Unnamed: 0,Error,Épocas,Clase
41,0.3141999840736389,21,"Validation error on d1: 0, d2: 0"
42,0.0605000257492065,22,"Train error on d1: 0, d2: 0"
43,0.3180999755859375,22,"Validation error on d1: 0, d2: 0"
44,0.0600749850273132,23,"Train error on d1: 0, d2: 0"
45,0.305400013923645,23,"Validation error on d1: 0, d2: 0"
46,0.0580999851226806,24,"Train error on d1: 0, d2: 0"
47,0.3148000240325928,24,"Validation error on d1: 0, d2: 0"
48,0.0499250292778015,25,"Train error on d1: 0, d2: 0"
49,0.3148999810218811,25,"Validation error on d1: 0, d2: 0"
50,0.0537999868392944,26,"Train error on d1: 0, d2: 0"
51,0.3201000094413757,26,"Validation error on d1: 0, d2: 0"
52,0.050475001335144,27,"Train error on d1: 0, d2: 0"
53,0.3241000175476074,27,"Validation error on d1: 0, d2: 0"
54,0.0506749749183654,28,"Train error on d1: 0, d2: 0"
55,0.3226000070571899,28,"Validation error on d1: 0, d2: 0"
56,0.048799991607666,29,"Train error on d1: 0, d2: 0"
57,0.3086000084877014,29,"Validation error on d1: 0, d2: 0"
58,0.0460749864578247,30,"Train error on d1: 0, d2: 0"
59,0.3176000118255615,30,"Validation error on d1: 0, d2: 0"
60,0.5811249911785126,1,"Train error on d1: 0, d2: 0.2"
61,0.4879000186920166,1,"Validation error on d1: 0, d2: 0.2"
62,0.4247499704360962,2,"Train error on d1: 0, d2: 0.2"
63,0.3806999921798706,2,"Validation error on d1: 0, d2: 0.2"
64,0.3561000227928161,3,"Train error on d1: 0, d2: 0.2"
65,0.3384000062942505,3,"Validation error on d1: 0, d2: 0.2"
66,0.309125006198883,4,"Train error on d1: 0, d2: 0.2"
67,0.3205000162124634,4,"Validation error on d1: 0, d2: 0.2"
68,0.2787250280380249,5,"Train error on d1: 0, d2: 0.2"
69,0.3061000108718872,5,"Validation error on d1: 0, d2: 0.2"
70,0.2498250007629394,6,"Train error on d1: 0, d2: 0.2"
71,0.3163999915122986,6,"Validation error on d1: 0, d2: 0.2"
72,0.2310749888420105,7,"Train error on d1: 0, d2: 0.2"
73,0.2894999980926513,7,"Validation error on d1: 0, d2: 0.2"
74,0.2106249928474426,8,"Train error on d1: 0, d2: 0.2"
75,0.3154000043869018,8,"Validation error on d1: 0, d2: 0.2"
76,0.1918500065803527,9,"Train error on d1: 0, d2: 0.2"
77,0.3119999766349792,9,"Validation error on d1: 0, d2: 0.2"
78,0.1773499846458435,10,"Train error on d1: 0, d2: 0.2"
79,0.3073999881744385,10,"Validation error on d1: 0, d2: 0.2"
80,0.1650000214576721,11,"Train error on d1: 0, d2: 0.2"
81,0.2961999773979187,11,"Validation error on d1: 0, d2: 0.2"
82,0.1500750184059143,12,"Train error on d1: 0, d2: 0.2"
83,0.3112000226974487,12,"Validation error on d1: 0, d2: 0.2"
84,0.142300009727478,13,"Train error on d1: 0, d2: 0.2"
85,0.30239999294281,13,"Validation error on d1: 0, d2: 0.2"
86,0.1306250095367431,14,"Train error on d1: 0, d2: 0.2"
87,0.3009999990463257,14,"Validation error on d1: 0, d2: 0.2"
88,0.1193500161170959,15,"Train error on d1: 0, d2: 0.2"
89,0.3040000200271606,15,"Validation error on d1: 0, d2: 0.2"
90,0.1122499704360961,16,"Train error on d1: 0, d2: 0.2"
91,0.3066999912261963,16,"Validation error on d1: 0, d2: 0.2"
92,0.1012750267982482,17,"Train error on d1: 0, d2: 0.2"
93,0.3216999769210815,17,"Validation error on d1: 0, d2: 0.2"
94,0.0972750186920166,18,"Train error on d1: 0, d2: 0.2"
95,0.3098999857902527,18,"Validation error on d1: 0, d2: 0.2"
96,0.0905249714851379,19,"Train error on d1: 0, d2: 0.2"
97,0.3012999892234802,19,"Validation error on d1: 0, d2: 0.2"
98,0.0868250131607055,20,"Train error on d1: 0, d2: 0.2"
99,0.3065000176429748,20,"Validation error on d1: 0, d2: 0.2"
100,0.0810750126838684,21,"Train error on d1: 0, d2: 0.2"
101,0.3072999715805053,21,"Validation error on d1: 0, d2: 0.2"
102,0.0763750076293945,22,"Train error on d1: 0, d2: 0.2"
103,0.3022000193595886,22,"Validation error on d1: 0, d2: 0.2"
104,0.0713750123977661,23,"Train error on d1: 0, d2: 0.2"
105,0.2983999848365783,23,"Validation error on d1: 0, d2: 0.2"
106,0.0693500041961669,24,"Train error on d1: 0, d2: 0.2"
107,0.3026000261306762,24,"Validation error on d1: 0, d2: 0.2"
108,0.0668249726295471,25,"Train error on d1: 0, d2: 0.2"
109,0.3136000037193298,25,"Validation error on d1: 0, d2: 0.2"
110,0.0644999742507934,26,"Train error on d1: 0, d2: 0.2"
111,0.3084999918937683,26,"Validation error on d1: 0, d2: 0.2"
112,0.0621749758720397,27,"Train error on d1: 0, d2: 0.2"
113,0.3011999726295471,27,"Validation error on d1: 0, d2: 0.2"
114,0.0608249902725219,28,"Train error on d1: 0, d2: 0.2"
115,0.2990999817848205,28,"Validation error on d1: 0, d2: 0.2"
116,0.0562000274658203,29,"Train error on d1: 0, d2: 0.2"
117,0.3095999956130981,29,"Validation error on d1: 0, d2: 0.2"
118,0.0565249919891357,30,"Train error on d1: 0, d2: 0.2"
119,0.3015000224113464,30,"Validation error on d1: 0, d2: 0.2"
0,0.5686250030994415,1,"Train error on d1: 0, d2: 0"
1,0.4599999785423279,1,"Validation error on d1: 0, d2: 0"
2,0.3996999859809875,2,"Train error on d1: 0, d2: 0"
3,0.3683000206947326,2,"Validation error on d1: 0, d2: 0"
4,0.3324000239372253,3,"Train error on d1: 0, d2: 0"
5,0.3222000002861023,3,"Validation error on d1: 0, d2: 0"
6,0.2845000028610229,4,"Train error on d1: 0, d2: 0"
7,0.3043000102043152,4,"Validation error on d1: 0, d2: 0"
8,0.2568749785423279,5,"Train error on d1: 0, d2: 0"
