Error,D,Type
0.13377,2,Tree_Parallel_Test
0.06980000000000001,2,Tree_Parallel_Training
0.17037999999999998,4,Tree_Parallel_Test
0.06640000000000001,4,Tree_Parallel_Training
0.23047500000000004,8,Tree_Parallel_Test
0.06939999999999999,8,Tree_Parallel_Training
0.2927449999999999,16,Tree_Parallel_Test
0.06920000000000001,16,Tree_Parallel_Training
0.34743,32,Tree_Parallel_Test
0.06700000000000002,32,Tree_Parallel_Training
0.130585,2,Tree_Diagonal_Test
0.07039999999999999,2,Tree_Diagonal_Training
0.13586500000000004,4,Tree_Diagonal_Test
0.06300000000000001,4,Tree_Diagonal_Training
0.141095,8,Tree_Diagonal_Test
0.047600000000000024,8,Tree_Diagonal_Training
0.135835,16,Tree_Diagonal_Test
0.04100000000000003,16,Tree_Diagonal_Training
0.145625,32,Tree_Diagonal_Test
0.040200000000000034,32,Tree_Diagonal_Training
