Error,Épocas,Clase
0.013007053106067567,0,Error train
0.014904740111888179,0,Error test
0.01027867499111718,20,Error train
0.012385341677165457,20,Error test
0.009473723864464068,40,Error train
0.011456233550054935,40,Error test
0.008512899721028916,60,Error train
0.010505250146050788,60,Error test
0.008526879067710482,80,Error train
0.0105263620598737,80,Error test
0.009534595523279827,100,Error train
0.011479216305846881,100,Error test
0.008631739878794994,120,Error train
0.010610788608291104,120,Error test
0.008302776654525404,140,Error train
0.010341889161822713,140,Error test
0.008373554770378194,160,Error train
0.01038667629066511,160,Error test
0.009897623274909832,180,Error train
0.011860057924189846,180,Error test
0.008566336505076814,200,Error train
0.010663134153505885,200,Error test
0.008391214486487815,220,Error train
0.010379801121552467,220,Error test
0.008631760611091334,240,Error train
0.010609737708640907,240,Error test
0.008387520609314934,260,Error train
0.010395234421092053,260,Error test
0.00864379904748716,280,Error train
0.010619631062286155,280,Error test
0.008172823400250688,300,Error train
0.010152160420193347,300,Error test
0.009336727242000369,320,Error train
0.011244350526138607,320,Error test
0.010551439693933243,340,Error train
0.01258819244086052,340,Error test
0.00817020121369667,360,Error train
0.010122287406227438,360,Error test
0.009341835907135308,380,Error train
0.011203012992970182,380,Error test
0.008281673003633099,400,Error train
0.01022295679215391,400,Error test
0.008249584068324468,420,Error train
0.010238684045774483,420,Error test
0.007962597875867311,440,Error train
0.009957065686137991,440,Error test
0.007829356286242643,460,Error train
0.00988376028406223,460,Error test
0.008308087974577898,480,Error train
0.010297681999182639,480,Error test
0.008420222347024255,500,Error train
0.010374674442752042,500,Error test
0.007832324970212478,520,Error train
0.009856724183512067,520,Error test
0.007847538666161462,540,Error train
0.00993952119069679,540,Error test
0.008154790375326095,560,Error train
0.010262506495635877,560,Error test
0.010114736072826086,580,Error train
0.01226712370633619,580,Error test
0.0078159589715018,600,Error train
0.009830743371227744,600,Error test
0.00929862636755217,620,Error train
0.011439671527738234,620,Error test
0.008987222795920286,640,Error train
0.011132841434356293,640,Error test
0.007896561396307126,660,Error train
0.009893248400484184,660,Error test
0.009424229863726206,680,Error train
0.011585242983961616,680,Error test
0.007939269177634581,700,Error train
0.010050688913058577,700,Error test
0.0077664582376495974,720,Error train
0.009784075797961813,720,Error test
0.008475037914862099,740,Error train
0.010432607608583647,740,Error test
0.007747293034471877,760,Error train
0.009797312217964657,760,Error test
0.00789742897712345,780,Error train
0.009971188487803996,780,Error test
0.008226923952921824,800,Error train
0.010331897307277738,800,Error test
0.007929775228906654,820,Error train
0.010014380598183738,820,Error test
0.008449257521292719,840,Error train
0.010414036141872628,840,Error test
0.008174620347336025,860,Error train
0.010263344766914427,860,Error test
0.0077276093335283125,880,Error train
0.009759547404047683,880,Error test
0.008570729811271495,900,Error train
0.010710737323678481,900,Error test
0.008864872257208218,920,Error train
0.011055885197943321,920,Error test
0.009458153464215796,940,Error train
0.011620238468053249,940,Error test
0.007888088158216858,960,Error train
0.009961635309042963,960,Error test
0.007814467346512362,980,Error train
0.009800369346438766,980,Error test
0.008148833461142146,1000,Error train
0.010091907112844552,1000,Error test
0.01034158270880049,1020,Error train
0.012193159941406765,1020,Error test
0.008133941000556548,1040,Error train
0.010221634560212226,1040,Error test
0.007951591649586177,1060,Error train
0.010043323485920576,1060,Error test
0.007786980834122828,1080,Error train
0.009795292286171074,1080,Error test
0.008117285527886308,1100,Error train
0.010057546320728054,1100,Error test
0.010503297296687555,1120,Error train
0.012634541511594601,1120,Error test
0.007966754271728318,1140,Error train
0.009990823210134588,1140,Error test
0.011345063122094587,1160,Error train
0.013172104367045167,1160,Error test
0.007709280610946557,1180,Error train
0.009724040361835327,1180,Error test
0.007939905071983886,1200,Error train
0.009985592261198049,1200,Error test
0.007787207619603595,1220,Error train
0.009845157481485218,1220,Error test
0.010039374656246611,1240,Error train
0.012214808055496807,1240,Error test
0.008884889596323118,1260,Error train
0.010821745907838572,1260,Error test
0.007838931083904883,1280,Error train
0.009922288679561988,1280,Error test
0.007893166753159469,1300,Error train
0.009934442929644493,1300,Error test
0.0079809965717316,1320,Error train
0.01003719485727849,1320,Error test
0.018330065473334874,1340,Error train
0.02068015087833833,1340,Error test
0.007905752159649374,1360,Error train
0.00995921036888671,1360,Error test
0.008425672252828602,1380,Error train
0.010547838770714702,1380,Error test
0.007640394390214598,1400,Error train
0.009660066689263296,1400,Error test
0.014291617658742957,1420,Error train
0.016596102764984567,1420,Error test
0.008741794240547602,1440,Error train
0.010669148330380076,1440,Error test
0.008190323379202448,1460,Error train
0.010146132370472023,1460,Error test
0.00884418156956498,1480,Error train
0.010972007942858587,1480,Error test
0.008847235998739336,1500,Error train
0.01074843087959413,1500,Error test
0.008117721892833284,1520,Error train
0.01006668829272019,1520,Error test
0.008923458412629984,1540,Error train
0.010827447326581361,1540,Error test
0.00883905025164673,1560,Error train
0.01075124717748001,1560,Error test
0.007878739281914689,1580,Error train
0.009908752954584587,1580,Error test
0.007942680194963133,1600,Error train
0.009925954649142959,1600,Error test
0.009075608399661187,1620,Error train
0.010976625579519004,1620,Error test
0.007673268433813583,1640,Error train
0.009677612216357597,1640,Error test
0.007661407751798473,1660,Error train
0.009676758249083754,1660,Error test
0.008017806848013818,1680,Error train
0.009981407154984039,1680,Error test
0.009123618249252455,1700,Error train
0.011275673417067145,1700,Error test
