Error,Épocas,Clase
0.01271888238353968,0,Error train
0.015160051762649784,0,Error test
0.009302807289016448,20,Error train
0.011832517835679028,20,Error test
0.006517961850736714,40,Error train
0.009083829633710207,40,Error test
0.006550168664992647,60,Error train
0.008982719090670171,60,Error test
0.005847196707451629,80,Error train
0.008442533001791918,80,Error test
0.007940446435373462,100,Error train
0.010198161496792786,100,Error test
0.008984903791779724,120,Error train
0.012193657705256402,120,Error test
0.005697992292290876,140,Error train
0.008411519712301639,140,Error test
0.006213804007584015,160,Error train
0.008702848115691303,160,Error test
0.005821117709059257,180,Error train
0.008780168302588555,180,Error test
0.0055006240728514046,200,Error train
0.008292426483638721,200,Error test
0.006579747829046228,220,Error train
0.009008261736953613,220,Error test
0.005507161239037474,240,Error train
0.008265845028571733,240,Error test
0.005843953950231015,260,Error train
0.008433711911521553,260,Error test
0.00554593529397217,280,Error train
0.008242135047531672,280,Error test
0.005484656538903882,300,Error train
0.008236295049844355,300,Error test
0.006581347016820751,320,Error train
0.009009999105829298,320,Error test
0.0057657600750233955,340,Error train
0.008364941733315586,340,Error test
0.005529962951543401,360,Error train
0.008209201504173341,360,Error test
0.006898674602715177,380,Error train
0.009261016922968258,380,Error test
0.005464704234778727,400,Error train
0.008205452939155767,400,Error test
0.005770387185456934,420,Error train
0.008737847675737556,420,Error test
0.005552044080428915,440,Error train
0.00823216609919198,440,Error test
0.00579761126887323,460,Error train
0.008390591795595117,460,Error test
0.005841882613617553,480,Error train
0.008421626793432892,480,Error test
0.00551388584870613,500,Error train
0.008379104629168653,500,Error test
0.006862376109797051,520,Error train
0.009241729800787045,520,Error test
0.005792272616561746,540,Error train
0.008340481431177233,540,Error test
0.005640133205462122,560,Error train
0.008568460143341285,560,Error test
0.006043787478415386,580,Error train
0.008584531844394033,580,Error test
0.006540111008999268,600,Error train
0.00965566105287666,600,Error test
0.0067986949066050515,620,Error train
0.009179508251693752,620,Error test
0.0055480106933992685,640,Error train
0.00850640174615936,640,Error test
0.005711451792558609,660,Error train
0.008722097786186782,660,Error test
0.0054714822601206765,680,Error train
0.008153145342884366,680,Error test
0.005402858555529349,700,Error train
0.008120210553542881,700,Error test
0.005290193946797729,720,Error train
0.008174094290973167,720,Error test
0.00532236648689333,740,Error train
0.008077156809803096,740,Error test
0.005289702777892107,760,Error train
0.008107513077446655,760,Error test
0.007281665873395315,780,Error train
0.010617681239567097,780,Error test
0.008828564600718956,800,Error train
0.01225452701157773,800,Error test
0.005338761295935113,820,Error train
0.00816787064620677,820,Error test
0.00657035614560644,840,Error train
0.00975989800320162,840,Error test
0.0062553411128859916,860,Error train
0.008768128359108342,860,Error test
0.005655549783961651,880,Error train
0.008659341005695478,880,Error test
0.005987057950904687,900,Error train
0.00854201347339525,900,Error test
0.0056961669031383565,920,Error train
0.008742689286764157,920,Error test
0.006776287989057928,940,Error train
0.009199323613206547,940,Error test
0.005287557412537175,960,Error train
0.00807892852833858,960,Error test
0.005355003136684346,980,Error train
0.008256073886973673,980,Error test
0.005640912374317611,1000,Error train
0.008600937413924642,1000,Error test
0.005944741835729641,1020,Error train
0.008453980184053038,1020,Error test
0.005932697071662118,1040,Error train
0.008874358226198658,1040,Error test
0.007350839081755237,1060,Error train
0.009659975932710762,1060,Error test
0.0054756193903509,1080,Error train
0.00808106941096232,1080,Error test
0.005672942967391767,1100,Error train
0.008578148249865605,1100,Error test
0.005479187389871018,1120,Error train
0.00809524361433548,1120,Error test
0.006227614173052658,1140,Error train
0.008679080348007807,1140,Error test
0.005341198190255608,1160,Error train
0.008019226173218437,1160,Error test
0.005332302214657226,1180,Error train
0.008026472814394316,1180,Error test
0.006076870464960163,1200,Error train
0.00856389502572479,1200,Error test
0.008348017384036446,1220,Error train
0.010600622087786156,1220,Error test
0.0052988479544334175,1240,Error train
0.00800977852395847,1240,Error test
0.00524590457478267,1260,Error train
