Weight,Épocas
6.171923177576615,0
7.798813373951118,20
9.268895735921944,40
10.280661092685175,60
10.486782350650225,80
10.49518217676108,100
10.591933900500475,120
10.598314663938197,140
10.614330154080644,160
10.99050542998325,180
11.005245805424392,200
10.993823073122186,220
11.048539730149088,240
11.06356442153249,260
11.097953474158956,280
11.09202380160326,300
11.073349414778203,320
11.10044619253263,340
11.113845132506635,360
11.093200072870328,380
11.147598302349111,400
11.196909277261224,420
11.198487109182183,440
11.19007116655294,460
11.212394078485106,480
11.230351946201235,500
11.19503718366167,520
11.196418330099487,540
11.265290664416515,560
11.489604130519044,580
11.519376134322528,600
11.445616476729853,620
11.525838310328679,640
11.543224987266145,660
11.538389472465422,680
11.559696504449946,700
11.57810587918937,720
11.58371809239098,740
11.584020384686585,760
11.659709357222155,780
11.648258839129817,800
11.59446494142086,820
11.648531020288125,840
11.606935455530618,860
11.636911994265937,880
11.63716453879492,900
11.67642027776838,920
11.630922420449568,940
11.66622036994573,960
11.695941599604964,980
11.677828550252414,1000
11.641099136300621,1020
11.657427571887398,1040
11.625327738356665,1060
11.6541685595924,1080
11.698841179504067,1100
11.70256147592818,1120
11.694032612797635,1140
11.717811632113365,1160
11.747005221602887,1180
11.746421844400349,1200
11.750411003678705,1220
11.78073875911646,1240
11.821274372969373,1260
11.780539005310462,1280
11.818300126250142,1300
11.783538182016276,1320
11.783730559881537,1340
11.834307568869795,1360
11.807328806528195,1380
11.854110181838589,1400
11.828420875492302,1420
11.857698541663051,1440
11.842426330002644,1460
11.86487179676702,1480
11.895941967623262,1500
11.906700757525902,1520
11.887772417707424,1540
12.027494612448539,1560
11.96108119454041,1580
12.006374701667013,1600
11.993725463096657,1620
11.983889274910403,1640
11.968106697146878,1660
12.014897037236612,1680
12.014529830230877,1700
12.036630328172917,1720
11.992340251434008,1740
12.004085095396675,1760
12.026408648454144,1780
12.040008067650705,1800
12.03059924788192,1820
12.061907395688678,1840
12.041907967232731,1860
12.086433676274492,1880
12.123921612515334,1900
12.069319338708167,1920
12.141610548741465,1940
12.13221362647937,1960
12.093653922319902,1980
12.178904831279599,2000
12.133844511759058,2020
12.16885240965291,2040
12.162850276454623,2060
12.198037246412715,2080
12.147495719259727,2100
12.165918311266797,2120
12.179301663346202,2140
12.168632663849873,2160
12.176187328997042,2180
12.168397475206962,2200
12.160526543067823,2220
12.221084407623298,2240
12.197909361486108,2260
12.228965717481266,2280
12.199653817978927,2300
12.22271459747387,2320
12.24234151011854,2340
12.233657941822345,2360
12.196787471558622,2380
12.242256071982599,2400
12.268146773179708,2420
12.26046926912355,2440
12.300576463823854,2460
12.275661567996448,2480
12.302888939887307,2500
12.264269287593454,2520
12.287320254952293,2540
12.250970663332652,2560
12.24120753275161,2580
12.207995346711908,2600
12.298356433719205,2620
12.275045036359806,2640
12.303114259764465,2660
12.318314528219258,2680
12.318767222832353,2700
12.284823111303096,2720
12.292744721342697,2740
12.322349290152717,2760
12.309962746458826,2780
12.325539182052632,2800
12.341596087058505,2820
12.321837153782818,2840
12.399149684090267,2860
12.397454746220882,2880
12.415531820950434,2900
12.412507862209441,2920
12.434168594815219,2940
12.427235850093993,2960
12.456763742877689,2980
12.440885693766013,3000
12.49713977175223,3020
12.440259482579119,3040
12.461342533980751,3060
12.42993309996554,3080
12.438074626844365,3100
12.425913432460572,3120
12.413316758221258,3140
12.452882316722333,3160
12.536114109812928,3180
12.513352675419213,3200
12.48408127291765,3220
12.489610138554891,3240
12.504178203433066,3260
12.486641295397373,3280
12.494445990183188,3300
12.548041979971199,3320
12.559386798996075,3340
12.514209932868091,3360
12.551419364378395,3380
12.51746663267982,3400
12.564031592355331,3420
12.583784367377499,3440
12.562333139912083,3460
12.57021990646826,3480
12.5346769216594,3500
12.54517083621785,3520
12.544173364320926,3540
12.557477816438434,3560
12.535059756494892,3580
12.538028678501547,3600
12.543605478710873,3620
12.57067293964003,3640
12.589383932434988,3660
12.562637670513649,3680
12.551747370423822,3700
12.57457471551789,3720
12.564568259944238,3740
12.653345983342357,3760
12.564458688823207,3780
12.585196898160735,3800
12.62928188896802,3820
12.567632320976045,3840
12.574517020508765,3860
12.642769302929484,3880
12.580710370538458,3900
12.59601855874874,3920
12.66743313327824,3940
12.596056563963442,3960
12.66237262182133,3980
12.638331132439376,4000
12.607542789534715,4020
12.662847164750081,4040
12.659691347894086,4060
12.614742818206592,4080
12.667409130581557,4100
12.692665930596013,4120
12.636018060900776,4140
12.657245125136384,4160
12.704746041216314,4180
12.699178114758748,4200
12.711280429972993,4220
12.724332344486655,4240
12.680937407088292,4260
12.680638810405288,4280
12.665280306886544,4300
12.744158323996409,4320
12.740476157403233,4340
12.75342647552386,4360
12.829628869577409,4380
12.813111315383791,4400
12.792959052288593,4420
12.78297852371288,4440
12.832817055862478,4460
12.832600042269867,4480
12.868177278655423,4500
12.89119516445308,4520
12.901012034575476,4540
12.835849720846074,4560
12.893513690498537,4580
12.895180073322557,4600
12.839649443983388,4620
12.882870795460278,4640
12.878651355169088,4660
12.834372005138478,4680
12.916507094828695,4700
12.903805975887742,4720
12.902435317688443,4740
12.894136930904462,4760
12.915721208187435,4780
12.907837162866127,4800
12.9026613112789,4820
12.971824152061245,4840
12.976209140739783,4860
12.96481045463258,4880
12.95576306380838,4900
12.965052469830166,4920
12.98839387767869,4940
12.991859415047514,4960
12.95486549069416,4980
12.954163128954308,5000
12.978696347128816,5020
12.937371914454722,5040
12.997434217566374,5060
12.957065222764918,5080
12.944348012404248,5100
12.987562675007087,5120
12.963009350921162,5140
