Error,Épocas,Clase
0.027876092432993427,0,Error train
0.3134887532934637,0,Error validación
0.30997909367156307,0,Error test
0.019753750286719912,50,Error train
0.32801222376985917,50,Error validación
0.3311335742562164,50,Error test
0.017034725631712787,100,Error train
0.3237809298307848,100,Error validación
0.3294945986056226,100,Error test
0.016647935655880124,150,Error train
0.3313356377473651,150,Error validación
0.337144488376578,150,Error test
0.016644020636930795,200,Error train
0.33031417811569885,200,Error validación
0.3360853290154725,200,Error test
0.016701864657087218,250,Error train
0.3282728245165249,250,Error validación
0.33400346199309894,250,Error test
0.016778176081012012,300,Error train
0.32636969175471536,300,Error validación
0.33213500989588596,300,Error test
0.016701085514854323,350,Error train
0.33789900333160455,350,Error validación
0.34375873274888186,350,Error test
0.016598219055803585,400,Error train
0.3352703282342901,400,Error validación
0.3411449938062701,400,Error test
0.016941951276621257,450,Error train
0.3415812059464787,450,Error validación
0.34747561612008154,450,Error test
0.01718239380208351,500,Error train
0.34429499146627995,500,Error validación
0.350179279529427,500,Error test
0.017566337594947624,550,Error train
0.34745682240014947,550,Error validación
0.3533891138362368,550,Error test
0.01648458853000757,600,Error train
0.33140645032772065,600,Error validación
0.3372095306990952,600,Error test
0.016464290724760904,650,Error train
0.33124327223158057,650,Error validación
0.3370775264424587,650,Error test
0.016834526252268937,700,Error train
0.3418544122453828,700,Error validación
0.3478091330265143,700,Error test
0.016481766310951395,750,Error train
0.32930654578926477,750,Error validación
0.33512784949453484,750,Error test
0.01643755518928548,800,Error train
0.3351736152535905,800,Error validación
0.34109187571763955,800,Error test
0.016383763692380697,850,Error train
0.33314265777448054,850,Error validación
0.33910322361975614,850,Error test
0.01637276421305222,900,Error train
0.33145500052304644,900,Error validación
0.3373824352013253,900,Error test
0.01672714492845622,950,Error train
0.34153151450540686,950,Error validación
0.3475178953766778,950,Error test
0.016578673294358588,1000,Error train
0.3256244114488296,1000,Error validación
0.33151367838736295,1000,Error test
0.01637885177398829,1050,Error train
0.3289044014002686,1050,Error validación
0.3348714953906946,1050,Error test
0.016359261387245756,1100,Error train
0.32906434772293935,1100,Error validación
0.33503224490309297,1100,Error test
0.016626972826466288,1150,Error train
0.34158847520399793,1150,Error validación
0.34769844294993113,1150,Error test
0.016678466367973876,1200,Error train
0.3424121396793157,1200,Error validación
0.3485671550959923,1200,Error test
0.016477534472544693,1250,Error train
0.3259542238202693,1250,Error validación
0.3320082316921418,1250,Error test
0.01621627954857734,1300,Error train
0.33215464040854553,1300,Error validación
0.33828564499659225,1300,Error test
0.01658594693094682,1350,Error train
0.342014465357305,1350,Error validación
0.34826903074686366,1350,Error test
0.01642351948623935,1400,Error train
0.3260284107527861,1400,Error validación
0.3320724144554143,1400,Error test
0.016924966932906106,1450,Error train
0.32124702030753155,1450,Error validación
0.32723950295916127,1450,Error test
0.01626076557205531,1500,Error train
0.3284143306645043,1500,Error validación
0.33445595722123006,1500,Error test
0.01647143762544645,1550,Error train
0.3419554148052409,1550,Error validación
0.34813048728003737,1550,Error test
0.016161118222972753,1600,Error train
0.3300906578431361,1600,Error validación
0.33614409892970853,1600,Error test
0.016715046407709478,1650,Error train
0.34516137611172565,1650,Error validación
0.35133464959502686,1650,Error test
0.016793693515152818,1700,Error train
0.3457523454497553,1700,Error validación
0.35190428815709596,1700,Error test
0.016797041264089884,1750,Error train
0.3455936059183869,1750,Error validación
0.3517179584981343,1750,Error test
0.01645012354537863,1800,Error train
0.3419655367168846,1800,Error validación
0.3480152659809006,1800,Error test
0.01611261072344757,1850,Error train
0.3285972293509224,1850,Error validación
0.3345045442581828,1850,Error test
0.0163075708618522,1900,Error train
0.34012327634942074,1900,Error validación
0.3461483787075423,1900,Error test
0.016181540823601147,1950,Error train
0.337824208630458,1950,Error validación
0.34387476808863643,1950,Error test
0.01600117095266201,2000,Error train
0.33073204032004067,2000,Error validación
0.33675032587395715,2000,Error test
0.01626409300408126,2050,Error train
0.33989474194123914,2050,Error validación
0.3460021941667298,2050,Error test
0.01596838814201876,2100,Error train
0.3341656217830876,2100,Error validación
0.3401740407845548,2100,Error test
0.015960793698519903,2150,Error train
0.3347213458064006,2150,Error validación
0.34069236990404156,2150,Error test
0.01596972611985351,2200,Error train
0.3291441694505936,2200,Error validación
0.3350432175841681,2200,Error test
0.016738616937382232,2250,Error train
0.32053562133345165,2250,Error validación
0.32634584174477915,2250,Error test
0.015958825474493173,2300,Error train
0.3288707543061573,2300,Error validación
0.334780505788497,2300,Error test
0.015865403776270163,2350,Error train
0.331715315592087,2350,Error validación
0.3376241227433011,2350,Error test
0.015948812501361865,2400,Error train
0.3287403558630759,2400,Error validación
0.33458747341879447,2400,Error test
0.016148696579392947,2450,Error train
0.32544369912939974,2450,Error validación
0.3313181311136081,2450,Error test
0.0161420362361561,2500,Error train
0.34197443128824206,2500,Error validación
0.3479689535378144,2500,Error test
0.01581472301528646,2550,Error train
0.3308578432679196,2550,Error validación
0.3368160108014161,2550,Error test
0.015886922004710403,2600,Error train
0.33818624908661105,2600,Error validación
0.34425993730279036,2600,Error test
0.016353707984087997,2650,Error train
0.34444888499600135,2650,Error validación
