Error,Épocas,Clase
0.27880580595755794,0,Error train
0.2672095745903666,0,Error validación
0.30309873426757206,0,Error test
0.19153013881352657,50,Error train
0.24843252578597894,50,Error validación
0.23672043424475897,50,Error test
0.31502376422054534,100,Error train
0.2807432919968339,100,Error validación
0.3279951903568413,100,Error test
0.20917047080139511,150,Error train
0.2402872146204999,150,Error validación
0.24232729065755934,150,Error test
0.18875441639106383,200,Error train
0.2816185134969609,200,Error validación
0.24458289461528948,200,Error test
0.1872928963237537,250,Error train
0.2601287476956063,250,Error validación
0.23614805271401906,250,Error test
0.24486407407134866,300,Error train
0.393441257171064,300,Error validación
0.3183358713798064,300,Error test
0.2060056298215364,350,Error train
0.3229070455594142,350,Error validación
0.2677751983130153,350,Error test
0.1928780982531106,400,Error train
0.2422272899511988,400,Error validación
0.2309647315166173,400,Error test
0.27482346874526753,450,Error train
0.260426476052394,450,Error validación
0.29307720714104446,450,Error test
0.1897499599771261,500,Error train
0.24551093560969042,500,Error validación
0.22850869075999497,500,Error test
0.19514200655393782,550,Error train
0.28575357159349246,550,Error validación
0.24504331024946088,550,Error test
0.1884200658591442,600,Error train
0.2624286393562374,600,Error validación
0.2329830415783762,600,Error test
0.18929894331911437,650,Error train
0.2445523461081884,650,Error validación
0.22814074112845656,650,Error test
0.1919371903697175,700,Error train
0.2791440841042794,700,Error validación
0.2417392301763969,700,Error test
0.24165206775677497,750,Error train
0.37223864046846844,750,Error validación
0.304847177539361,750,Error test
0.2548402178533306,800,Error train
0.24989942967158382,800,Error validación
0.2758934147232885,800,Error test
0.23083740015325366,850,Error train
0.2423527814989618,850,Error validación
0.25831737939918165,850,Error test
0.1882088252447426,900,Error train
0.2514532060061536,900,Error validación
0.23310907584144847,900,Error test
0.2953769518126108,950,Error train
0.463216648171326,950,Error validación
0.375103299890352,950,Error test
0.22601126837075358,1000,Error train
0.3587436490827549,1000,Error validación
0.294255486006926,1000,Error test
0.27902237677565933,1050,Error train
0.2670941834602115,1050,Error validación
0.300639106748737,1050,Error test
0.19000423183407963,1100,Error train
0.27866592348613173,1100,Error validación
0.24202760648413824,1100,Error test
0.3459832707579485,1150,Error train
0.5283833686771363,1150,Error validación
0.4287362890242694,1150,Error test
0.21556604026213244,1200,Error train
0.243059599070076,1200,Error validación
