eta,alfa,Media error test
0.1,0.0,0.06559999999999999
0.1,0.5,0.052925
0.1,0.9,0.059483333333333326
0.01,0.0,0.1017625
0.01,0.5,0.11977000000000002
0.01,0.9,0.10534166666666668
0.001,0.0,0.1250785714285715
0.001,0.5,0.13988125000000018
0.001,0.9,0.14888888888888904
