Error,Épocas,Clase
0.016142595573876182,0,Error train
0.01873587478413211,0,Error test
0.008533534313735347,20,Error train
0.010840804518819443,20,Error test
0.006583012133080495,40,Error train
0.00904490490947309,40,Error test
0.0060732217596840285,60,Error train
0.008619328422267713,60,Error test
0.006787806559156955,80,Error train
0.009620016919724384,80,Error test
0.006103633935072982,100,Error train
0.008562708907968767,100,Error test
0.006168874158962737,120,Error train
0.008541535594904318,120,Error test
0.008968415384297487,140,Error train
0.012123835011626892,140,Error test
0.0057607580000782485,160,Error train
0.008282613390364011,160,Error test
0.006127968286176594,180,Error train
0.008930898556243181,180,Error test
0.006434718683843218,200,Error train
0.00927973525135912,200,Error test
0.005806777929504598,220,Error train
0.008271227974288638,220,Error test
0.005704032876148962,240,Error train
0.008290699901271435,240,Error test
0.00573442142881537,260,Error train
0.008253791079111755,260,Error test
0.009724162607479738,280,Error train
0.011631844591165414,280,Error test
0.006074509795569813,300,Error train
0.008922804955877169,300,Error test
0.005675257009112686,320,Error train
0.008238576477082997,320,Error test
0.00567048510137311,340,Error train
0.008247642317365123,340,Error test
0.005667999633768655,360,Error train
0.008229500338531445,360,Error test
0.005745305665112352,380,Error train
0.008228723378169081,380,Error test
0.005583502317098323,400,Error train
0.0082625570793956,400,Error test
0.007981645173391096,420,Error train
0.010108828089517654,420,Error test
0.005634921413246654,440,Error train
0.008188423047282371,440,Error test
0.006682409844457498,460,Error train
0.00899706087778886,460,Error test
0.0070553261993751264,480,Error train
0.010205705329458852,480,Error test
0.005563651872263097,500,Error train
0.008140480925914446,500,Error test
0.005697750270988913,520,Error train
0.008199291037883768,520,Error test
0.007551908506758083,540,Error train
0.009730491217673184,540,Error test
0.008776580022013833,560,Error train
0.010815529977712724,560,Error test
0.009839145336729277,580,Error train
0.013131074443983542,580,Error test
0.007959803035774142,600,Error train
0.011076986722468077,600,Error test
0.005642625633056999,620,Error train
0.008411666925429459,620,Error test
0.0072760583791872755,640,Error train
0.01037400464209375,640,Error test
0.005715805750633405,660,Error train
0.008516530822931896,660,Error test
0.008350854299419926,680,Error train
0.01042276381160685,680,Error test
0.00558156799396179,700,Error train
0.008143557444414876,700,Error test
0.00636875161540941,720,Error train
0.008730367792791207,720,Error test
0.005605224197864912,740,Error train
0.008429386523387428,740,Error test
0.005550212741954788,760,Error train
0.008347459782344068,760,Error test
0.006334057008698716,780,Error train
0.00868010373274598,780,Error test
0.006123474390044315,800,Error train
0.008514878130543321,800,Error test
0.009668967476089009,820,Error train
0.011652624834059329,820,Error test
0.00566967002085568,840,Error train
0.008181419636082305,840,Error test
0.005934170689119184,860,Error train
0.00836856636159863,860,Error test
0.006577855084473807,880,Error train
0.00952512875334897,880,Error test
0.00555435712491694,900,Error train
0.008325045436436742,900,Error test
0.00539812512415586,920,Error train
0.00806529978174626,920,Error test
0.0054059148158682405,940,Error train
0.008053480406852082,940,Error test
0.005373880226297335,960,Error train
0.008056055878378592,960,Error test
0.00584920481104143,980,Error train
0.008348867557908798,980,Error test
0.0065009177825695475,1000,Error train
0.008870740669028062,1000,Error test
0.006441104393705437,1020,Error train
0.008807180339341697,1020,Error test
0.005727559415154026,1040,Error train
0.008226867828649394,1040,Error test
0.007490777606556396,1060,Error train
0.009710052889289132,1060,Error test
0.005424360880061372,1080,Error train
0.008030628388109253,1080,Error test
0.009085414848742018,1100,Error train
0.01112078458153788,1100,Error test
0.005404007768501722,1120,Error train
0.008032031368578045,1120,Error test
0.005735559829831984,1140,Error train
0.008566681706017475,1140,Error test
0.006371052628138682,1160,Error train
0.008701574149667447,1160,Error test
0.005416930169950527,1180,Error train
0.008011369104636176,1180,Error test
0.00629998281007082,1200,Error train
0.008620027589418187,1200,Error test
0.008812952028220362,1220,Error train
0.011970126746483251,1220,Error test
0.005652863903618034,1240,Error train
0.008112092189713996,1240,Error test
0.006349786845983174,1260,Error train
0.00866119997912209,1260,Error test
0.00556576676071456,1280,Error train
0.008247577582372876,1280,Error test
0.005553480474621305,1300,Error train
0.008024768643841058,1300,Error test
0.005660445715773789,1320,Error train
0.008090956753087901,1320,Error test
0.005858788524557114,1340,Error train
0.008638096030379998,1340,Error test
0.009849117640573208,1360,Error train
