Error,Épocas,Clase
0.6799999999999999,15200,Test error
0.3375,15400,Train error
0.4,15400, Validation error
0.30000000000000004,15400,Test error
0.32499999999999996,15600,Train error
0.4,15600, Validation error
0.30000000000000004,15600,Test error
0.275,15800,Train error
0.4,15800, Validation error
0.21999999999999997,15800,Test error
0.3375,16000,Train error
0.4,16000, Validation error
0.30000000000000004,16000,Test error
0.3125,16200,Train error
0.44999999999999996,16200, Validation error
0.31999999999999995,16200,Test error
0.3125,16400,Train error
0.44999999999999996,16400, Validation error
0.31999999999999995,16400,Test error
0.3125,16600,Train error
0.44999999999999996,16600, Validation error
0.31999999999999995,16600,Test error
0.3375,16800,Train error
0.4,16800, Validation error
0.30000000000000004,16800,Test error
0.3375,17000,Train error
0.4,17000, Validation error
0.30000000000000004,17000,Test error
0.3125,17200,Train error
0.44999999999999996,17200, Validation error
0.31999999999999995,17200,Test error
0.3375,17400,Train error
0.4,17400, Validation error
0.30000000000000004,17400,Test error
0.3375,17600,Train error
0.4,17600, Validation error
0.30000000000000004,17600,Test error
0.3375,17800,Train error
0.4,17800, Validation error
0.30000000000000004,17800,Test error
0.3125,18000,Train error
0.44999999999999996,18000, Validation error
0.31999999999999995,18000,Test error
0.3375,18200,Train error
0.4,18200, Validation error
0.30000000000000004,18200,Test error
0.3125,18400,Train error
0.44999999999999996,18400, Validation error
0.31999999999999995,18400,Test error
0.3375,18600,Train error
0.4,18600, Validation error
0.30000000000000004,18600,Test error
0.3375,18800,Train error
0.4,18800, Validation error
0.30000000000000004,18800,Test error
0.3125,19000,Train error
0.44999999999999996,19000, Validation error
0.31999999999999995,19000,Test error
0.3375,19200,Train error
0.4,19200, Validation error
0.30000000000000004,19200,Test error
0.3125,19400,Train error
0.44999999999999996,19400, Validation error
0.31999999999999995,19400,Test error
0.3375,19600,Train error
0.4,19600, Validation error
0.30000000000000004,19600,Test error
0.3125,19800,Train error
0.44999999999999996,19800, Validation error
0.31999999999999995,19800,Test error
0.3125,20000,Train error
0.44999999999999996,20000, Validation error
0.31999999999999995,20000,Test error
0.3125,20200,Train error
0.44999999999999996,20200, Validation error
0.31999999999999995,20200,Test error
0.3125,20400,Train error
0.44999999999999996,20400, Validation error
0.31999999999999995,20400,Test error
0.3375,20600,Train error
0.4,20600, Validation error
0.30000000000000004,20600,Test error
0.3125,20800,Train error
0.44999999999999996,20800, Validation error
0.31999999999999995,20800,Test error
0.3125,21000,Train error
0.44999999999999996,21000, Validation error
0.31999999999999995,21000,Test error
0.3375,21200,Train error
0.4,21200, Validation error
0.30000000000000004,21200,Test error
0.3125,21400,Train error
0.44999999999999996,21400, Validation error
0.31999999999999995,21400,Test error
0.3375,21600,Train error
0.4,21600, Validation error
0.30000000000000004,21600,Test error
