Error,Épocas,Clase
0.012788929018458023,0,Error train
0.01499198288541536,0,Error test
0.008335041641997078,20,Error train
0.010721151654275545,20,Error test
0.006718846598889687,40,Error train
0.009347866874277183,40,Error test
0.006495020980631532,60,Error train
0.008943572355982327,60,Error test
0.0075364453800855725,80,Error train
0.010426458256026259,80,Error test
0.01156996861413208,100,Error train
0.014886042031198875,100,Error test
0.006457602837933357,120,Error train
0.009447572140245674,120,Error test
0.006376292865768038,140,Error train
0.008715937177120627,140,Error test
0.005807320459363723,160,Error train
0.008430812625308133,160,Error test
0.007163297499896821,180,Error train
0.010289121041502433,180,Error test
0.0060098130832348115,200,Error train
0.008478707250330907,200,Error test
0.007715512691843975,220,Error train
0.009838265617291708,220,Error test
0.006938531865794064,240,Error train
0.009172913873021687,240,Error test
0.007174076642288602,260,Error train
0.009346883169415166,260,Error test
0.006202706045307118,280,Error train
0.008546953518892954,280,Error test
0.00562124430694031,300,Error train
0.008155455627340909,300,Error test
0.005454619745053123,320,Error train
0.00807483742242911,320,Error test
0.005375086248378521,340,Error train
0.0081488326424696,340,Error test
0.0057063874807835955,360,Error train
0.008643218869839039,360,Error test
0.005790253317611501,380,Error train
0.008254128995508621,380,Error test
0.00610385401010317,400,Error train
0.008515520103131509,400,Error test
0.007608822519237728,420,Error train
0.01094716255893491,420,Error test
0.0063798046414905015,440,Error train
0.008747216035188356,440,Error test
0.005307117123057548,460,Error train
0.008042682557463472,460,Error test
0.005543938536310104,480,Error train
0.008486630702397014,480,Error test
0.005335559527393577,500,Error train
0.008013824592062936,500,Error test
0.005247066583414361,520,Error train
0.007981358340858209,520,Error test
0.005337545270507465,540,Error train
0.007956641507632142,540,Error test
0.005422614723499982,560,Error train
0.008378701542608094,560,Error test
0.0053343710766657615,580,Error train
0.008222284004404239,580,Error test
0.005344575122260453,600,Error train
0.007958347650163204,600,Error test
0.005226728145265238,620,Error train
0.007934398656131464,620,Error test
0.007544044327037944,640,Error train
0.010808564480829189,640,Error test
0.0057070811305630085,660,Error train
0.008184711152272947,660,Error test
0.005601626213430341,680,Error train
0.008104607303984846,680,Error test
0.005762606230128582,700,Error train
0.008708889420391512,700,Error test
0.0057552067219758555,720,Error train
0.008731916829089121,720,Error test
0.006682571155297789,740,Error train
0.008969529545827314,740,Error test
0.005246720593548666,760,Error train
0.008072474380842309,760,Error test
0.006735360113019251,780,Error train
0.009012500733909665,780,Error test
0.006865569752681321,800,Error train
0.009144558451586246,800,Error test
0.006902479303093542,820,Error train
0.009172654958323588,820,Error test
0.007386957897412204,840,Error train
0.009593861726538365,840,Error test
0.007182003310201242,860,Error train
0.009397132702043372,860,Error test
0.005711579902281992,880,Error train
0.0081610961301701,880,Error test
0.005616154234113401,900,Error train
0.008101108699025174,900,Error test
0.006777442921631338,920,Error train
0.009052638122319752,920,Error test
0.005194437549361971,940,Error train
0.007834456110450257,940,Error test
0.007304184466689975,960,Error train
0.009509218197893464,960,Error test
0.00559832293363185,980,Error train
0.008056311241363865,980,Error test
0.005369137060132619,1000,Error train
0.008194948481825464,1000,Error test
0.005210945913244757,1020,Error train
0.007953938960759091,1020,Error test
0.005195834349138232,1040,Error train
0.007819735693197025,1040,Error test
0.00533897904326721,1060,Error train
0.007868903031328698,1060,Error test
0.007753794698388043,1080,Error train
0.010931112332434973,1080,Error test
0.00653709927770372,1100,Error train
0.008841739557780606,1100,Error test
0.005690141170837118,1120,Error train
0.008134046666186409,1120,Error test
0.00597501148430411,1140,Error train
0.009036402458352145,1140,Error test
0.005514778405059429,1160,Error train
0.008038346285076041,1160,Error test
0.005042994996528522,1180,Error train
0.007811267667047848,1180,Error test
0.005065727300165763,1200,Error train
0.0077996790513793785,1200,Error test
0.01131780450747207,1220,Error train
0.015063996957964986,1220,Error test
0.005375741363860368,1240,Error train
0.008406695448264825,1240,Error test
0.005942056034401096,1260,Error train
0.008389881552914922,1260,Error test
0.006055358155806763,1280,Error train
0.008462550537813002,1280,Error test
0.005206191641572698,1300,Error train
0.007840657453251234,1300,Error test
0.005115648901448274,1320,Error train
0.007788543165596431,1320,Error test
0.006009529172059936,1340,Error train
0.008439345480498423,1340,Error test
0.005170333177780817,1360,Error train
0.008017778477043514,1360,Error test
0.006547614991877309,1380,Error train
0.00888239602863344,1380,Error test
0.0052275684737006925,1400,Error train
0.00784975632666022,1400,Error test
0.007163493235170885,1420,Error train
0.009417003742330494,1420,Error test
0.005129808041105899,1440,Error train
0.007993408876022803,1440,Error test
0.006563402740567474,1460,Error train
0.00969024275058593,1460,Error test
0.006918724039211804,1480,Error train
0.010107918789743113,1480,Error test
