Error,Épocas,Clase
0.038095191264492526,0,Error train
0.04336925496936866,0,Error test
0.04380869197559055,20,Error train
0.04554232403813053,20,Error test
0.04506915647314617,40,Error train
0.046478210947177974,40,Error test
0.04254265706042639,60,Error train
0.044640416238855646,60,Error test
0.04812991907624103,80,Error train
0.04885502288078624,80,Error test
0.03824305356859541,100,Error train
0.04376097996831334,100,Error test
0.039367470654006115,120,Error train
0.04272187019324254,120,Error test
0.03845569356322099,140,Error train
0.04245677841031537,140,Error test
0.041395514587527084,160,Error train
0.043870268341832594,160,Error test
0.045045596394020136,180,Error train
0.05338824761004519,180,Error test
0.03823021645794936,200,Error train
0.04248764816089776,200,Error test
0.04209644262542075,220,Error train
0.049615990265420754,220,Error test
0.04433620537579765,240,Error train
0.045930205802026315,240,Error test
0.050217325364970575,260,Error train
0.05965789460497571,260,Error test
0.03804439309483303,280,Error train
0.04265928586949348,280,Error test
0.03824518407166096,300,Error train
0.042482304550410944,300,Error test
0.07578786250694161,320,Error train
0.07264328063903219,320,Error test
0.040334816296137346,340,Error train
0.043220699507821814,340,Error test
0.03952378265701113,360,Error train
0.04279318356836241,360,Error test
0.041028758700614204,380,Error train
0.048178001265662816,380,Error test
0.04530058535116352,400,Error train
0.05370536435790317,400,Error test
0.04258744181535858,420,Error train
0.04467148203822123,420,Error test
0.03847318076240236,440,Error train
0.042457461560261194,440,Error test
0.04413729172168401,460,Error train
0.04578347948141363,460,Error test
0.03945854143834197,480,Error train
0.04276278959521772,480,Error test
0.04056143037247409,500,Error train
0.04335258051253146,500,Error test
0.0505806286985493,520,Error train
0.050830060417902286,520,Error test
0.04043852429712281,540,Error train
0.043280438743084966,540,Error test
0.05225310283669074,560,Error train
0.05220432497383122,560,Error test
0.04513019326803772,580,Error train
0.04652435075461735,580,Error test
0.06386647920801009,600,Error train
0.0621068701704021,600,Error test
0.04060356036388143,620,Error train
0.043377597030041626,620,Error test
0.047767570866878925,640,Error train
0.04856767488688913,640,Error test
